Epoch,Train_Loss,Val_Loss,Train_Precision,Val_Precision
1,1.7722907525913738,1.0756988768514835,0.347571679344646,0.7595356550580431
2,1.1986569302661396,0.7110720490546603,0.5874780573434757,0.8524046434494196
3,0.9717495899612658,0.5820105415033666,0.6723229959040374,0.8391376451077943
4,0.8735824613092101,0.4850290414730185,0.7074312463428906,0.8872305140961857
5,0.801482882733657,0.4647584818303585,0.7279110590988882,0.8723051409618574
6,0.7608435132375387,0.4315547484316324,0.7442949093036864,0.8689883913764511
7,0.7258265589790367,0.4300979870910707,0.7542422469280281,0.8689883913764511
8,0.7019878204598605,0.39197459836539467,0.7688706846108836,0.8888888888888888
9,0.7470538181679272,0.3995951871926847,0.7530719719133997,0.8905472636815921
10,0.6954717700865781,0.38605898868684707,0.7589233469865418,0.8805970149253731
11,0.6967744910132105,0.3786206154740955,0.7659449970743125,0.8955223880597015
12,0.6485695989332466,0.3632169157070549,0.77530719719134,0.8988391376451078
13,0.6539019807198337,0.3550486767076348,0.7852545348156816,0.900497512437811
14,0.6476260010744924,0.3716739896488817,0.7717963721474547,0.8922056384742952
15,0.6468164522166007,0.36036404883979184,0.7934464599180807,0.8822553897180763
16,0.656735712192326,0.343675358024867,0.7788180222352252,0.900497512437811
17,0.6512789304289862,0.34420507744346795,0.7881802223522528,0.9054726368159204
18,0.6565982425045744,0.34218857858918217,0.7712112346401404,0.8905472636815921
19,0.6402412532506702,0.35006903214870316,0.7852545348156816,0.8988391376451078
20,0.6381047968622123,0.34917611501326684,0.7799882972498537,0.8888888888888888
21,0.6647135731981737,0.34801713936030865,0.7694558221181977,0.8971807628524047
22,0.6686832822998551,0.33475449431295456,0.7677004095962551,0.900497512437811
23,0.6543857880006326,0.34122163880812495,0.7823288472791106,0.9038142620232172
24,0.673163099162211,0.33987749990467964,0.7682855471035693,0.9054726368159204
25,0.6260091829522748,0.3444515304934037,0.7758923346986542,0.8922056384742952
26,0.6434939443786568,0.33390424611341013,0.7875950848449386,0.900497512437811
27,0.6430093786009005,0.34173516321339104,0.7764774722059684,0.8922056384742952
28,0.6515316286724862,0.3301359317510536,0.770040959625512,0.9038142620232172
29,0.6084005507492574,0.3348660424449726,0.796957284961966,0.8988391376451078
30,0.629139298277202,0.3362092089496161,0.7834991222937391,0.9054726368159204
31,0.6225721486887642,0.3390954015776515,0.7911059098888239,0.8988391376451078
32,0.6612432217138393,0.33435601388153274,0.7729666471620831,0.8905472636815921
33,0.6345781211123288,0.32914054771199036,0.7834991222937391,0.8955223880597015
34,0.633683690957934,0.3340124170246877,0.7723815096547688,0.8955223880597015
35,0.6174248214637008,0.32715354590235574,0.7934464599180807,0.8938640132669984
36,0.6480548671646932,0.32389255095959496,0.7717963721474547,0.8971807628524047
37,0.6423243542558679,0.3406112863143024,0.7758923346986542,0.8955223880597015
38,0.60211594792727,0.35238958620711375,0.7928613224107666,0.8839137645107794
39,0.6346987672150135,0.34126883436386524,0.7706260971328263,0.8988391376451078
40,0.6183436406410743,0.3278170435346271,0.7870099473376243,0.900497512437811
41,0.6422157306746344,0.33204412661296756,0.7893504973668812,0.900497512437811
42,0.6111959187296506,0.3322997680424075,0.788765359859567,0.900497512437811
43,0.6215011153683484,0.33195712191886023,0.7928613224107666,0.8971807628524047
44,0.6496526523728237,0.33780134743765783,0.7829139847864248,0.9021558872305141
