Epoch,Train_Loss,Val_Loss,Train_Precision,Val_Precision
1,0.720378151824959,0.2784210593427384,0.751316559391457,0.9137645107794361
2,0.40440842542344724,0.25307569946897657,0.8566413107080164,0.912106135986733
3,0.34408910054643854,0.26514742100660343,0.8800468110005851,0.8988391376451078
4,0.3175192170767723,0.23210232404955222,0.8899941486249269,0.912106135986733
5,0.238560338239142,0.23636969138629196,0.9204212990052663,0.9154228855721394
6,0.2325197957612783,0.2309032111079432,0.9180807489760093,0.9154228855721394
7,0.17036930468612324,0.20168326003170622,0.946752486834406,0.9353233830845771
8,0.1677092264088689,0.2159245958931646,0.9449970743124634,0.9154228855721394
9,0.14157718135953543,0.19292022225272376,0.9502633118782914,0.9303482587064676
10,0.14548683733131004,0.21841405524288635,0.949093036863663,0.9253731343283582
11,0.15006303027050275,0.26315253042259046,0.954359274429491,0.9104477611940298
